Harga;Kecamatan;KT;KM;LT;LB;Lantai;Furnished;Carport
1500000000;1;3;2;98;85;2;0;0
1900000000;5;4;3;90;120;2;0;2
875000000;2;4;2;87;140;2;1;1
900000000;2;4;2;87;140;2;0;1
1200000000;2;4;2;80;100;2;0;0
400000000;3;2;1;74;54;1;0;4
8000000000;2;42;25;732;1400;2;1;0
795000000;1;2;1;72;45;1;0;0
3000000000;4;20;10;696;600;1;0;0
4000000000;2;5;4;640;400;1;2;0
4900000000;3;3;3;631;300;1;0;0
3300000000;1;5;4;615;156;1;0;0
3800000000;2;7;4;600;450;2;0;0
5500000000;5;5;4;600;300;1;0;0
5000000000;1;5;4;535;450;2;0;0
3500000000;1;4;3;500;450;2;2;0
3500000000;2;4;3;481;165;1;0;0
20000000000;8;4;2;471;202;2;0;0
20000000000;8;4;2;471;200;2;0;0
5200000000;8;21;10;435;485;2;1;2
5900000000;8;5;3;425;324;1;0;1
5900000000;4;6;6;380;400;2;2;0
12000000000;4;13;13;370;494;2;2;0
7500000000;12;4;2;360;160;1;0;0
3900000000;8;15;10;355;200;2;0;0
4500000000;7;5;5;350;300;2;2;0
4900000000;13;7;7;330;450;2;0;1
3700000000;11;7;3;324;150;1;0;0
2200000000;2;8;2;314;250;1;0;0
5700000000;8;4;3;309;200;2;1;0
5000000000;2;5;4;305;280;2;1;0
3200000000;0;5;3;297;336;2;0;0
3900000000;2;6;4;288;215;2;0;0
12500000000;3;5;4;2852;500;2;1;0
4000000000;9;4;4;280;180;1;1;1
3500000000;2;4;2;275;150;1;0;0
2800000000;1;5;4;274;400;2;0;0
1400000000;0;4;2;270;150;1;1;0
4000000000;7;4;4;266;200;1;1;0
2700000000;8;3;3;254;215;2;0;0
3700000000;7;3;3;245;200;1;2;0
2700000000;8;6;4;240;260;2;0;1
2400000000;8;5;3;240;260;2;0;1
6500000000;8;3;2;240;300;2;1;0
6500000000;13;5;3;239;324;2;0;0
1900000000;13;5;3;225;325;2;0;1
2400000000;2;5;3;225;150;1;1;0
2200000000;3;3;2;217;270;2;0;0
2800000000;1;4;3;213;190;1;0;1
2500000000;2;4;3;210;350;2;2;0
3300000000;4;5;5;209;190;2;0;0
2000000000;5;5;5;200;270;2;0;0
3800000000;4;3;2;200;265;1;0;0
15000000000;2;11;10;2000;1000;2;2;0
2900000000;8;4;3;189;220;1;0;1
1200000000;2;5;4;186;220;2;0;1
2200000000;2;8;4;185;250;2;0;0
2100000000;2;4;3;180;250;2;0;1
4100000000;7;5;4;175;300;2;2;0
1700000000;8;5;3;172;160;2;0;0
1800000000;2;5;4;170;150;2;2;0
1900000000;3;4;2;169;169;1;1;0
1400000000;1;2;4;160;90;1;2;0
1500000000;1;2;3;160;90;1;2;0
